Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*TVF	*SIL	*CXF	*MAN	*CHN	*TVN	*FAF	*MAF	*CHF	*NON	*FAN	*OLN	
18098.25	18098250	18099.47	18099470	1.22	1220															
18121.24	18121240	18122.04	18122040	0.8	800															
18136.19	18136190	18138.82	18138820	2.63	2630															
18139.42	18139420	18140.24	18140240	0.82	820															
18140.24	18140240	18141.35	18141350	1.11	1110															
18142.16	18142160	18143.3	18143300	1.14	1140															
18143.3	18143300	18144.92	18144920	1.62	1620															
18145.73	18145730	18146.87	18146870	1.14	1140															
18222.85	18222850	18223.45	18223450	0.6	600															
18355.7	18355700	18356.3	18356300	0.6	600															
18598.25	18598250	18599.1	18599100	0.85	850															
18599.9	18599900	18600.71	18600710	0.81	810															
18602.05	18602050	18605.71	18605710	3.66	3660															
18606.51	18606510	18607.32	18607320	0.81	810															
18611.86	18611860	18612.84	18612840	0.98	980															
18612.84	18612840	18613.62	18613620	0.78	780															
18615.87	18615870	18617.41	18617410	1.54	1540															
18618.07	18618070	18621.87	18621870	3.8	3800															
18623.68	18623680	18624.49	18624490	0.81	810															
18631.51	18631510	18632.41	18632410	0.9	900															
18669.93	18669930	18670.77	18670770	0.84	840															
18682.03	18682030	18683.08	18683080	1.05	1050															
18684.87	18684870	18685.73	18685730	0.86	860															
18686.53	18686530	18687.43	18687430	0.9	900															
18694.12	18694120	18695.23	18695230	1.11	1110															
18701.58	18701580	18702.71	18702710	1.13	1130															
18705.69	18705690	18706.65	18706650	0.96	960															
18709.18	18709180	18710.49	18710490	1.31	1310															
18711.31	18711310	18712.11	18712110	0.8	800															
18713.44	18713440	18714.64	18714640	1.2	1200															
18757.75	18757750	18758.36	18758360	0.61	610															
18759.32	18759320	18760.17	18760170	0.85	850															
18761.5	18761500	18762.85	18762850	1.35	1350															
18768.6	18768600	18769.52	18769520	0.92	920															
18770.66	18770660	18771.26	18771260	0.6	600															
18776.71	18776710	18778.59	18778590	1.88	1880															
18778.59	18778590	18779.78	18779780	1.19	1190															
18782.96	18782960	18783.78	18783780	0.82	820															
18784.77	18784770	18785.86	18785860	1.09	1090															
18786.68	18786680	18787.48	18787480	0.8	800															
18792.61	18792610	18793.74	18793740	1.13	1130															
18796.27	18796270	18797.46	18797460	1.19	1190															
18798.76	18798760	18799.56	18799560	0.8	800															
18800.4	18800400	18801.25	18801250	0.85	850															
18802.06	18802060	18804.06	18804060	2.0	2000															
18804.87	18804870	18805.86	18805860	0.99	990															
18806.72	18806720	18808.66	18808660	1.94	1940															
18814.25	18814250	18814.88	18814880	0.63	630															
18814.88	18814880	18816.09	18816090	1.21	1210															
18819.13	18819130	18820.36	18820360	1.23	1230															
18821.16	18821160	18824.47	18824470	3.31	3310															
18838.31	18838310	18839.12	18839120	0.81	810															
18841.54	18841540	18843.05	18843050	1.51	1510															
18845.67	18845670	18847.16	18847160	1.49	1490															
18863.88	18863880	18864.72	18864720	0.84	840															
18866.74	18866740	18867.73	18867730	0.99	990															
18877.49	18877490	18878.29	18878290	0.8	800															
18916.37	18916370	18917.26	18917260	0.89	890															
18929.77	18929770	18930.58	18930580	0.81	810															
18980.72	18980720	18982.39	18982390	1.67	1670															
18982.99	18982990	18987.28	18987280	4.29	4290															
19028.18	19028180	19029.27	19029270	1.09	1090															
19031.76	19031760	19032.56	19032560	0.8	800															
19039.03	19039030	19039.83	19039830	0.8	800															
19043.1	19043100	19043.9	19043900	0.8	800															
19045.3	19045300	19047.26	19047260	1.96	1960															
19058.94	19058940	19059.74	19059740	0.8	800															
19064.43	19064430	19065.38	19065380	0.95	950															
19067.44	19067440	19068.29	19068290	0.85	850															
19080.73	19080730	19081.57	19081570	0.84	840															
19082.39	19082390	19083.36	19083360	0.97	970															
19090.72	19090720	19091.52	19091520	0.8	800															
19188.33	19188330	19189.59	19189590	1.26	1260															
19190.39	19190390	19192.93	19192930	2.54	2540															
19263.96	19263960	19264.76	19264760	0.8	800															
19266.41	19266410	19267.26	19267260	0.85	850															
19278.68	19278680	19283.27	19283270	4.59	4590															
19286.73	19286730	19288.55	19288550	1.82	1820															
19289.38	19289380	19290.18	19290180	0.8	800															
19291.08	19291080	19291.9	19291900	0.82	820															
19346.43	19346430	19347.72	19347720	1.29	1290															
19348.52	19348520	19352.08	19352080	3.56	3560															
19368.2	19368200	19369.02	19369020	0.82	820															
19369.96	19369960	19370.84	19370840	0.88	880															
19374.38	19374380	19377.42	19377420	3.04	3040															
19378.24	19378240	19380.18	19380180	1.94	1940															
19412.1	19412100	19413.23	19413230	1.13	1130															
19416.28	19416280	19417.38	19417380	1.1	1100															
19424.79	19424790	19425.6	19425600	0.81	810															
19428.44	19428440	19430.34	19430340	1.9	1900															
19433.45	19433450	19434.26	19434260	0.81	810															
19441.44	19441440	19442.24	19442240	0.8	800															
19451.31	19451310	19453.6	19453600	2.29	2290															
19454.21	19454210	19455.01	19455010	0.8	800															
19456.61	19456610	19457.56	19457560	0.95	950															
19459.96	19459960	19460.8	19460800	0.84	840															
19487.43	19487430	19488.23	19488230	0.8	800															
19489.03	19489030	19489.89	19489890	0.86	860															
19492.75	19492750	19493.81	19493810	1.06	1060															
19494.64	19494640	19495.64	19495640	1.0	1000															
19515.78	19515780	19516.63	19516630	0.85	850															
19520.18	19520180	19522.82	19522820	2.64	2640															
19524.13	19524130	19525.75	19525750	1.62	1620															
19526.38	19526380	19527.29	19527290	0.91	910															
19528.9	19528900	19529.7	19529700	0.8	800															
19530.53	19530530	19532.94	19532940	2.41	2410															
19533.74	19533740	19534.96	19534960	1.22	1220															
19536.07	19536070	19536.94	19536940	0.87	870															
19541.08	19541080	19542.07	19542070	0.99	990															
19546.19	19546190	19547.03	19547030	0.84	840															
19562.45	19562450	19563.25	19563250	0.8	800															
19564.85	19564850	19572.21	19572210	7.36	7360															
19664.58	19664580	19665.61	19665610	1.03	1030															
