Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*TVF	*SIL	*CXF	*MAN	*CHN	*FAF	*TVN	*MAF	*CHF	*NON	*FAN	*OLN	
12848.79	12848790	12849.62	12849620	0.83	830															
12856.94	12856940	12857.74	12857740	0.8	800															
12858.4	12858400	12859.23	12859230	0.83	830															
12890.62	12890620	12891.74	12891740	1.12	1120															
12911.52	12911520	12912.49	12912490	0.97	970															
12997.91	12997910	12998.71	12998710	0.8	800															
13010.05	13010050	13010.85	13010850	0.8	800															
13048.04	13048040	13049.12	13049120	1.08	1080															
13049.92	13049920	13051.31	13051310	1.39	1390															
13054.61	13054610	13055.83	13055830	1.22	1220															
13057.73	13057730	13058.8	13058800	1.07	1070															
13058.8	13058800	13059.48	13059480	0.68	680															
13059.48	13059480	13060.7	13060700	1.22	1220															
13060.7	13060700	13061.3	13061300	0.6	600															
13096.62	13096620	13097.22	13097220	0.6	600															
13101.03	13101030	13101.63	13101630	0.6	600															
13168.56	13168560	13169.36	13169360	0.8	800															
13229.85	13229850	13230.73	13230730	0.88	880															
13280.2	13280200	13281.03	13281030	0.83	830															
13435.43	13435430	13436.23	13436230	0.8	800															
13565.9	13565900	13567.68	13567680	1.78	1780															
13568.81	13568810	13569.62	13569620	0.81	810															
13667.94	13667940	13668.54	13668540	0.6	600															
13678.6	13678600	13679.67	13679670	1.07	1070															
13740.03	13740030	13740.98	13740980	0.95	950															
13796.99	13796990	13797.59	13797590	0.6	600															
13904.2	13904200	13905.0	13905000	0.8	800															
13921.38	13921380	13922.34	13922340	0.96	960															
13975.85	13975850	13976.45	13976450	0.6	600															
13978.73	13978730	13979.33	13979330	0.6	600															
13993.55	13993550	13994.15	13994150	0.6	600															
14007.11	14007110	14007.71	14007710	0.6	600															
14034.4	14034400	14035.33	14035330	0.93	930															
14104.42	14104420	14105.02	14105020	0.6	600															
14108.62	14108620	14110.43	14110430	1.81	1810															
14112.03	14112030	14114.06	14114060	2.03	2030															
14115.12	14115120	14115.92	14115920	0.8	800															
14129.04	14129040	14129.97	14129970	0.93	930															
14129.97	14129970	14130.57	14130570	0.6	600															
14132.6	14132600	14133.69	14133690	1.09	1090															
14134.75	14134750	14135.96	14135960	1.21	1210															
14135.96	14135960	14136.81	14136810	0.85	850															
14422.06	14422060	14422.86	14422860	0.8	800															
14430.59	14430590	14431.19	14431190	0.6	600															
14654.21	14654210	14655.21	14655210	1.0	1000															
15088.18	15088180	15088.98	15088980	0.8	800															
15099.47	15099470	15100.34	15100340	0.87	870															
15975.75	15975750	15976.46	15976460	0.71	710															
16236.64	16236640	16237.64	16237640	1.0	1000															
16242.84	16242840	16243.65	16243650	0.81	810															
16293.38	16293380	16294.54	16294540	1.16	1160															
16317.19	16317190	16318.04	16318040	0.85	850															
16372.58	16372580	16373.38	16373380	0.8	800															
16374.53	16374530	16375.36	16375360	0.83	830															
16375.36	16375360	16375.96	16375960	0.6	600															
16386.6	16386600	16388.04	16388040	1.44	1440															
16389.08	16389080	16390.37	16390370	1.29	1290															
16434.14	16434140	16434.94	16434940	0.8	800															
16480.22	16480220	16481.29	16481290	1.07	1070															
16483.91	16483910	16484.86	16484860	0.95	950															
16488.09	16488090	16492.23	16492230	4.14	4140															
16495.03	16495030	16496.45	16496450	1.42	1420															
16504.78	16504780	16505.79	16505790	1.01	1010															
16505.79	16505790	16506.39	16506390	0.6	600															
16512.73	16512730	16513.54	16513540	0.81	810															
16522.48	16522480	16523.3	16523300	0.82	820															
16523.3	16523300	16524.31	16524310	1.01	1010															
16526.23	16526230	16527.03	16527030	0.8	800															
16527.63	16527630	16528.43	16528430	0.8	800															
16552.11	16552110	16552.95	16552950	0.84	840															
16556.23	16556230	16557.07	16557070	0.84	840															
16560.81	16560810	16561.61	16561610	0.8	800															
16580.06	16580060	16581.08	16581080	1.02	1020															
16587.25	16587250	16589.27	16589270	2.02	2020															
16590.07	16590070	16591.64	16591640	1.57	1570															
16594.7	16594700	16596.1	16596100	1.4	1400															
16597.57	16597570	16598.18	16598180	0.61	610															
16598.18	16598180	16599.51	16599510	1.33	1330															
16601.38	16601380	16602.32	16602320	0.94	940															
16604.35	16604350	16606.68	16606680	2.33	2330															
16607.94	16607940	16608.74	16608740	0.8	800															
16721.26	16721260	16721.87	16721870	0.61	610															
16740.64	16740640	16741.44	16741440	0.8	800															
16764.94	16764940	16767.57	16767570	2.63	2630															
16767.57	16767570	16768.48	16768480	0.91	910															
16910.05	16910050	16910.66	16910660	0.61	610															
16911.66	16911660	16912.37	16912370	0.71	710															
16915.56	16915560	16916.56	16916560	1.0	1000															
16928.97	16928970	16929.57	16929570	0.6	600															
16929.57	16929570	16930.59	16930590	1.02	1020															
17217.65	17217650	17218.45	17218450	0.8	800															
17580.37	17580370	17581.17	17581170	0.8	800															
17887.16	17887160	17887.77	17887770	0.61	610															
17908.99	17908990	17909.65	17909650	0.66	660															
17917.04	17917040	17917.84	17917840	0.8	800															
18091.92	18091920	18092.52	18092520	0.6	600															
18094.69	18094690	18095.51	18095510	0.82	820															
18123.78	18123780	18124.58	18124580	0.8	800															
18298.1	18298100	18298.7	18298700	0.6	600															
18405.06	18405060	18405.67	18405670	0.61	610															
18423.91	18423910	18424.71	18424710	0.8	800															
18431.56	18431560	18432.7	18432700	1.14	1140															
18438.58	18438580	18439.55	18439550	0.97	970															
18440.53	18440530	18441.54	18441540	1.01	1010															
18442.35	18442350	18443.15	18443150	0.8	800															
18444.57	18444570	18445.69	18445690	1.12	1120															
18521.47	18521470	18522.09	18522090	0.62	620															
18561.52	18561520	18562.19	18562190	0.67	670															
18653.7	18653700	18654.3	18654300	0.6	600															
18720.41	18720410	18721.01	18721010	0.6	600															
18883.42	18883420	18884.47	18884470	1.05	1050															
18902.11	18902110	18903.63	18903630	1.52	1520															
18961.61	18961610	18963.52	18963520	1.91	1910															
19209.5	19209500	19210.1	19210100	0.6	600															
19222.99	19222990	19223.86	19223860	0.87	870															
19282.82	19282820	19283.42	19283420	0.6	600															
19291.73	19291730	19292.62	19292620	0.89	890															
19295.16	19295160	19296.37	19296370	1.21	1210															
19299.1	19299100	19299.9	19299900	0.8	800															
19334.74	19334740	19335.61	19335610	0.87	870															
19338.07	19338070	19338.87	19338870	0.8	800															
19348.16	19348160	19348.96	19348960	0.8	800															
19379.3	19379300	19380.1	19380100	0.8	800															
19416.63	19416630	19417.56	19417560	0.93	930															
19460.2	19460200	19460.81	19460810	0.61	610															
19481.37	19481370	19482.03	19482030	0.66	660															
19482.03	19482030	19482.83	19482830	0.8	800															
19486.46	19486460	19487.06	19487060	0.6	600															
19495.44	19495440	19496.28	19496280	0.84	840															
19504.87	19504870	19505.47	19505470	0.6	600															
19522.87	19522870	19524.14	19524140	1.27	1270															
19568.95	19568950	19569.75	19569750	0.8	800															
19573.38	19573380	19574.26	19574260	0.88	880															
19577.14	19577140	19577.94	19577940	0.8	800															
19579.73	19579730	19581.36	19581360	1.63	1630															
19582.17	19582170	19582.79	19582790	0.62	620															
19605.9	19605900	19606.72	19606720	0.82	820															
19608.32	19608320	19610.95	19610950	2.63	2630															
19818.85	19818850	19819.96	19819960	1.11	1110															
19848.48	19848480	19849.71	19849710	1.23	1230															
20061.49	20061490	20062.1	20062100	0.61	610															
20083.02	20083020	20083.85	20083850	0.83	830															
