Begin Time - ss.msec	Begin Time - msec	End Time - ss.msec	End Time - msec	Duration - ss.msec	Duration - msec	*CXN	*OLF	*NOF	*SIL	*TVF	*CXF	*MAN	*CHN	*TVN	*FAF	*MAF	*NON	*CHF	*FAN	*OLN	
26557.56	26557560	26558.36	26558360	0.8	800															
26572.58	26572580	26575.3	26575300	2.72	2720															
26576.69	26576690	26577.56	26577560	0.87	870															
26578.78	26578780	26581.35	26581350	2.57	2570															
26583.6	26583600	26585.69	26585690	2.09	2090															
26587.13	26587130	26587.74	26587740	0.61	610															
26589.85	26589850	26590.65	26590650	0.8	800															
26591.65	26591650	26592.65	26592650	1.0	1000															
26593.46	26593460	26596.94	26596940	3.48	3480															
26598.77	26598770	26599.59	26599590	0.82	820															
26599.59	26599590	26600.21	26600210	0.62	620															
26600.21	26600210	26605.93	26605930	5.72	5720															
26609.23	26609230	26610.04	26610040	0.81	810															
26611.29	26611290	26611.89	26611890	0.6	600															
26611.89	26611890	26614.18	26614180	2.29	2290															
26614.99	26614990	26615.82	26615820	0.83	830															
26617.96	26617960	26618.87	26618870	0.91	910															
26628.05	26628050	26628.68	26628680	0.63	630															
26628.68	26628680	26630.71	26630710	2.03	2030															
26632.9	26632900	26633.7	26633700	0.8	800															
26634.87	26634870	26635.7	26635700	0.83	830															
26637.61	26637610	26639.04	26639040	1.43	1430															
26639.64	26639640	26642.13	26642130	2.49	2490															
26642.83	26642830	26644.2	26644200	1.37	1370															
26644.8	26644800	26645.93	26645930	1.13	1130															
26651.88	26651880	26652.5	26652500	0.62	620															
26652.5	26652500	26654.9	26654900	2.4	2400															
26656.25	26656250	26657.68	26657680	1.43	1430															
26659.11	26659110	26660.0	26660000	0.89	890															
26660.8	26660800	26662.93	26662930	2.13	2130															
26663.53	26663530	26664.33	26664330	0.8	800															
26666.22	26666220	26667.09	26667090	0.87	870															
26667.89	26667890	26669.45	26669450	1.56	1560															
26672.06	26672060	26672.71	26672710	0.65	650															
26672.71	26672710	26673.51	26673510	0.8	800															
26675.13	26675130	26675.93	26675930	0.8	800															
26676.9	26676900	26680.44	26680440	3.54	3540															
26681.31	26681310	26682.06	26682060	0.75	750															
26687.22	26687220	26688.24	26688240	1.02	1020															
26689.59	26689590	26690.62	26690620	1.03	1030															
26693.6	26693600	26694.34	26694340	0.74	740															
26694.34	26694340	26695.64	26695640	1.3	1300															
26695.64	26695640	26696.24	26696240	0.6	600															
26696.24	26696240	26697.08	26697080	0.84	840															
26697.08	26697080	26697.68	26697680	0.6	600															
26698.68	26698680	26699.85	26699850	1.17	1170															
26701.02	26701020	26702.08	26702080	1.06	1060															
26704.57	26704570	26705.17	26705170	0.6	600															
