,Action,Start,End,Duration
290,&=crying ,03:32:52.570,03:32:53.250,00:00:00.680
291,&=crying ,03:32:54.240,03:32:54.870,00:00:00.630
292,&=crying ,03:33:00.230,03:33:00.860,00:00:00.630
293,&=crying ,03:33:03.480,03:33:04.990,00:00:01.510
294,&=crying ,03:33:04.990,03:33:05.790,00:00:00.800
295,&=crying ,03:33:08.830,03:33:09.530,00:00:00.700
296,&=crying ,03:33:10.520,03:33:13.350,00:00:02.830
297,&=crying ,03:33:14.680,03:33:15.410,00:00:00.730
298,&=crying ,03:33:16.610,03:33:19.090,00:00:02.480
299,&=crying ,03:33:22.440,03:33:24.160,00:00:01.720
300,&=crying ,03:33:25.480,03:33:27.040,00:00:01.560
301,&=crying ,03:33:33.340,03:33:33.890,00:00:00.550
302,&=crying ,03:33:44.240,03:33:45.340,00:00:01.100
303,&=crying ,03:33:46.760,03:33:48.430,00:00:01.670
304,&=crying ,03:33:49.440,03:33:51.350,00:00:01.910
305,&=crying ,03:33:52.400,03:33:54.820,00:00:02.420
306,&=crying ,03:33:55.630,03:33:56.770,00:00:01.140
307,&=crying ,03:33:58.510,03:34:01.400,00:00:02.890
308,&=crying ,03:34:02.300,03:34:02.710,00:00:00.410
309,&=crying ,03:34:04.050,03:34:06.560,00:00:02.510
310,&=crying ,03:34:06.810,03:34:10.500,00:00:03.690
311,&=crying ,03:34:12.120,03:34:17.130,00:00:05.010
312,&=crying ,03:34:18.440,03:34:19.590,00:00:01.150
313,&=crying ,03:34:20.880,03:34:31.970,00:00:11.090
314,&=crying ,03:34:33.290,03:34:33.930,00:00:00.640
315,&=crying ,03:34:37.130,03:34:40.490,00:00:03.360
316,&=crying ,03:34:41.580,03:34:44.860,00:00:03.280
317,&=crying ,03:34:45.660,03:34:48.060,00:00:02.400
318,&=crying ,03:34:48.750,03:34:55.780,00:00:07.030
319,&=crying ,03:34:57.130,03:35:04.140,00:00:07.010
320,&=crying ,03:35:04.550,03:35:06.540,00:00:01.990
321,&=crying ,03:35:07.550,03:35:10.550,00:00:03.000
322,&=crying ,03:35:11.850,03:35:12.070,00:00:00.220
323,&=crying ,03:35:13.460,03:35:16.840,00:00:03.380
324,&=crying ,03:35:17.700,03:35:19.510,00:00:01.810
325,&=crying ,03:35:19.860,03:35:20.680,00:00:00.820
326,&=crying ,03:35:21.480,03:35:32.660,00:00:11.180
327,&=crying ,03:35:33.660,03:35:39.060,00:00:05.400
328,&=crying ,03:35:39.550,03:35:41.220,00:00:01.670
329,&=crying ,03:35:41.970,03:35:47.310,00:00:05.340
330,&=crying ,03:35:51.130,03:35:55.790,00:00:04.660
331,&=crying ,03:36:00.340,03:36:01.040,00:00:00.700
332,&=crying ,03:36:03.010,03:36:04.040,00:00:01.030
333,&=crying ,03:36:07.640,03:36:09.170,00:00:01.530
334,&=crying ,03:36:10.210,03:36:14.350,00:00:04.140
335,&=crying ,03:36:17.060,03:36:17.160,00:00:00.100
336,&=crying ,03:36:18.540,03:36:20.880,00:00:02.340
337,&=crying ,03:36:27.350,03:36:28.870,00:00:01.520
338,&=crying ,03:36:29.720,03:36:30.300,00:00:00.580
339,&=crying ,03:36:46.640,03:36:47.370,00:00:00.730
340,&=crying ,03:36:47.990,03:36:48.540,00:00:00.550
341,&=crying ,03:36:51.680,03:36:55.190,00:00:03.510
342,&=crying ,03:36:59.670,03:37:00.280,00:00:00.610
343,&=crying ,03:37:01.580,03:37:02.340,00:00:00.760
344,&=crying ,03:37:11.370,03:37:14.330,00:00:02.960
